ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,319.63,128,28.21,37.635,127,28.26,52184460
4096,2048,294.83,128,27.91,35.444,127,27.94,80373132
6144,2048,325.61,128,27.42,37.101,127,27.46,108561804
8192,2048,321.65,128,27.46,36.880,127,27.50,136750476
10240,2048,279.79,128,27.09,37.320,127,27.13,164939148
12288,2048,307.12,128,27.22,37.453,127,27.26,193127820
14336,2048,302.92,128,26.86,37.869,127,26.90,221316492
16384,2048,269.43,128,26.82,37.364,127,26.86,249505164
18432,2048,290.01,128,26.43,38.505,127,26.47,277693836
20480,2048,286.96,128,26.55,38.327,127,26.59,305882508
22528,2048,256.63,128,26.21,38.519,127,26.24,334071180
24576,2048,279.72,128,26.37,39.899,127,26.41,362259852
26624,2048,271.23,128,25.94,38.876,127,25.98,390448524
28672,2048,244.79,128,26.08,38.653,127,26.11,418637196
30720,2048,264.87,128,25.73,39.539,127,25.76,446825868
32768,2048,261.48,128,25.50,40.674,127,25.54,475014540
34816,2048,233.33,128,25.02,40.525,127,25.05,503203212
36864,2048,252.47,128,25.11,45.676,127,25.17,531391884
38912,2048,249.15,128,24.80,42.298,127,24.84,559580556
40960,2048,227.05,128,25.10,40.116,127,25.12,587769228
43008,2048,240.51,128,24.80,42.145,127,24.84,615957900
45056,2048,237.86,128,24.88,42.958,127,24.93,644146572
47104,2048,217.95,128,24.58,41.449,127,24.62,672335244
49152,2048,232.42,128,24.71,43.016,127,24.75,700523916
51200,2048,227.51,128,24.35,41.780,127,24.38,728712588
53248,2048,209.94,128,24.46,41.783,127,24.49,756901260
55296,2048,223.13,128,24.17,44.253,127,24.21,785089932
57344,2048,220.42,128,24.31,51.885,127,24.38,813278604
59392,2048,201.35,128,24.05,42.309,127,24.08,841467276
61440,2048,214.41,128,24.16,43.647,127,24.19,869655948
63488,2048,211.95,128,23.82,44.054,127,23.86,897844620
65536,2048,197.08,128,23.51,42.062,127,23.53,0
