ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,315.98,128,28.23,37.288,127,28.28,52184460
4096,2048,328.83,128,27.91,35.957,127,27.94,80373132
6144,2048,324.23,128,27.42,36.748,127,27.45,108561804
8192,2048,320.36,128,27.46,36.938,127,27.50,136750476
10240,2048,309.79,128,27.08,37.574,127,27.12,164939148
12288,2048,305.99,128,27.21,37.367,127,27.25,193127820
14336,2048,301.99,128,26.86,37.453,127,26.89,221316492
16384,2048,298.14,128,26.81,37.703,127,26.85,249505164
18432,2048,289.04,128,26.46,38.427,127,26.50,277693836
20480,2048,286.02,128,26.55,38.123,127,26.59,305882508
22528,2048,282.15,128,26.21,38.626,127,26.25,334071180
24576,2048,279.10,128,26.36,38.596,127,26.39,362259852
26624,2048,270.77,128,25.99,38.839,127,26.03,390448524
28672,2048,267.22,128,26.09,38.732,127,26.12,418637196
30720,2048,264.08,128,25.71,41.467,127,25.76,446825868
32768,2048,260.40,128,25.50,40.556,127,25.54,475014540
34816,2048,253.12,128,25.03,41.224,127,25.06,503203212
36864,2048,251.41,128,25.15,40.271,127,25.18,531391884
38912,2048,248.43,128,24.81,43.063,127,24.86,559580556
40960,2048,245.43,128,25.07,43.110,127,25.11,587769228
43008,2048,239.57,128,24.82,40.574,127,24.85,615957900
45056,2048,237.00,128,24.89,42.080,127,24.93,644146572
47104,2048,234.28,128,24.58,40.877,127,24.61,672335244
49152,2048,231.51,128,24.72,42.431,127,24.76,700523916
51200,2048,226.87,128,24.32,43.595,127,24.36,728712588
53248,2048,224.94,128,24.52,42.567,127,24.55,756901260
55296,2048,222.28,128,24.19,41.580,127,24.22,785089932
57344,2048,219.90,128,24.34,43.988,127,24.38,813278604
59392,2048,215.19,128,24.05,42.989,127,24.09,841467276
61440,2048,213.77,128,24.16,43.777,127,24.19,869655948
63488,2048,211.37,128,23.82,43.296,127,23.85,897844620
65536,2048,208.66,128,23.48,43.798,127,23.51,0
