ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,310.08,128,28.19,37.177,127,28.23,52184460
4096,2048,326.07,128,27.86,35.882,127,27.89,80373132
6144,2048,321.76,128,27.38,36.963,127,27.41,108561804
8192,2048,318.02,128,27.39,36.951,127,27.43,136750476
10240,2048,307.56,128,27.06,37.582,127,27.10,164939148
12288,2048,303.86,128,27.20,37.047,127,27.23,193127820
14336,2048,299.93,128,26.84,37.821,127,26.87,221316492
16384,2048,296.19,128,26.74,37.751,127,26.77,249505164
18432,2048,287.19,128,26.41,38.520,127,26.45,277693836
20480,2048,284.12,128,26.55,37.964,127,26.59,305882508
22528,2048,280.02,128,26.19,38.612,127,26.23,334071180
24576,2048,276.83,128,26.28,39.908,127,26.32,362259852
26624,2048,268.75,128,25.98,39.104,127,26.01,390448524
28672,2048,266.37,128,26.06,40.181,127,26.10,418637196
30720,2048,261.94,128,25.71,40.793,127,25.75,446825868
32768,2048,259.03,128,25.44,40.695,127,25.48,475014540
34816,2048,251.87,128,25.02,40.795,127,25.06,503203212
36864,2048,250.12,128,25.13,43.623,127,25.18,531391884
38912,2048,246.94,128,24.81,40.965,127,24.84,559580556
40960,2048,244.14,128,25.02,42.783,127,25.06,587769228
43008,2048,238.33,128,24.78,43.094,127,24.82,615957900
45056,2048,235.71,128,24.87,42.316,127,24.91,644146572
47104,2048,232.84,128,24.57,41.141,127,24.60,672335244
49152,2048,230.37,128,24.64,43.434,127,24.69,700523916
51200,2048,225.44,128,24.34,42.246,127,24.37,728712588
53248,2048,223.83,128,24.48,44.730,127,24.53,756901260
55296,2048,221.12,128,24.18,42.576,127,24.22,785089932
57344,2048,218.74,128,24.31,43.118,127,24.34,813278604
59392,2048,213.83,128,24.01,44.222,127,24.05,841467276
61440,2048,212.74,128,24.12,44.290,127,24.16,869655948
63488,2048,210.30,128,23.82,42.527,127,23.85,897844620
65536,2048,207.78,128,23.44,43.661,127,23.47,0
