ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,318.39,128,28.21,37.104,127,28.25,52184460
4096,2048,329.99,128,27.91,35.835,127,27.94,80373132
6144,2048,325.15,128,27.41,37.147,127,27.45,108561804
8192,2048,321.24,128,27.46,36.918,127,27.50,136750476
10240,2048,310.49,128,27.07,37.460,127,27.11,164939148
12288,2048,306.90,128,27.21,37.405,127,27.25,193127820
14336,2048,302.78,128,26.85,37.834,127,26.89,221316492
16384,2048,298.92,128,26.80,37.682,127,26.84,249505164
18432,2048,289.89,128,26.43,38.269,127,26.47,277693836
20480,2048,286.12,128,26.54,39.543,127,26.58,305882508
22528,2048,282.05,128,26.19,40.039,127,26.24,334071180
24576,2048,279.19,128,26.35,38.533,127,26.38,362259852
26624,2048,271.59,128,25.99,38.736,127,26.03,390448524
28672,2048,268.27,128,26.06,40.191,127,26.11,418637196
30720,2048,264.32,128,25.71,40.809,127,25.76,446825868
32768,2048,260.76,128,25.50,39.575,127,25.53,475014540
34816,2048,253.73,128,24.90,42.038,127,24.94,503203212
36864,2048,252.11,128,25.13,42.468,127,25.18,531391884
38912,2048,248.99,128,24.80,42.204,127,24.84,559580556
40960,2048,246.00,128,25.07,42.744,127,25.11,587769228
43008,2048,239.92,128,24.78,41.931,127,24.82,615957900
45056,2048,237.61,128,24.87,42.532,127,24.91,644146572
47104,2048,234.75,128,24.57,43.524,127,24.61,672335244
49152,2048,231.96,128,24.69,42.387,127,24.73,700523916
51200,2048,227.32,128,24.36,43.890,127,24.41,728712588
53248,2048,225.51,128,24.51,41.653,127,24.54,756901260
55296,2048,222.68,128,24.15,50.819,127,24.22,785089932
57344,2048,220.18,128,24.34,43.081,127,24.37,813278604
59392,2048,215.33,128,24.03,44.050,127,24.07,841467276
61440,2048,214.00,128,24.14,44.408,127,24.18,869655948
63488,2048,211.72,128,23.82,44.190,127,23.86,897844620
65536,2048,208.85,128,23.49,43.818,127,23.52,0
