ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,305.49,128,28.25,37.301,127,28.30,52184460
4096,2048,324.07,128,27.89,35.895,127,27.93,80373132
6144,2048,320.09,128,27.43,37.025,127,27.47,108561804
8192,2048,316.44,128,27.45,36.966,127,27.49,136750476
10240,2048,306.16,128,27.10,37.479,127,27.14,164939148
12288,2048,302.43,128,27.24,37.207,127,27.28,193127820
14336,2048,298.38,128,26.98,37.519,127,27.02,221316492
16384,2048,293.38,128,26.87,37.703,127,26.90,249505164
18432,2048,285.98,128,26.48,38.358,127,26.51,277693836
20480,2048,282.12,128,26.57,39.604,127,26.62,305882508
22528,2048,278.56,128,26.23,38.700,127,26.27,334071180
24576,2048,276.38,128,26.31,38.617,127,26.34,362259852
26624,2048,268.14,128,26.01,40.362,127,26.06,390448524
28672,2048,264.69,128,26.09,40.204,127,26.13,418637196
30720,2048,261.18,128,25.74,41.017,127,25.78,446825868
32768,2048,257.94,128,25.45,40.808,127,25.49,475014540
34816,2048,250.77,128,25.02,42.705,127,25.06,503203212
36864,2048,249.06,128,25.15,42.336,127,25.19,531391884
38912,2048,246.15,128,24.80,46.089,127,24.86,559580556
40960,2048,243.16,128,25.05,42.785,127,25.09,587769228
43008,2048,237.28,128,24.79,43.672,127,24.83,615957900
45056,2048,234.89,128,24.90,43.944,127,24.94,644146572
47104,2048,232.20,128,24.59,41.564,127,24.63,672335244
49152,2048,229.66,128,24.69,41.576,127,24.73,700523916
51200,2048,225.15,128,24.39,43.495,127,24.43,728712588
53248,2048,223.16,128,24.54,41.278,127,24.57,756901260
55296,2048,220.35,128,24.19,46.730,127,24.24,785089932
57344,2048,218.11,128,24.32,43.759,127,24.36,813278604
59392,2048,213.39,128,24.05,43.502,127,24.08,841467276
61440,2048,212.03,128,24.16,43.798,127,24.20,869655948
63488,2048,209.72,128,23.86,43.267,127,23.90,897844620
65536,2048,207.17,128,23.47,43.843,127,23.50,0
