ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,320.52,128,28.26,37.128,127,28.31,52184460
4096,2048,330.72,128,27.91,35.810,127,27.95,80373132
6144,2048,325.92,128,27.41,36.906,127,27.45,108561804
8192,2048,322.04,128,27.53,36.583,127,27.57,136750476
10240,2048,311.20,128,27.07,37.625,127,27.11,164939148
12288,2048,307.50,128,27.24,37.324,127,27.27,193127820
14336,2048,303.36,128,26.85,37.880,127,26.88,221316492
16384,2048,299.69,128,26.80,37.485,127,26.84,249505164
18432,2048,290.61,128,26.39,38.134,127,26.43,277693836
20480,2048,287.37,128,26.56,38.309,127,26.59,305882508
22528,2048,283.25,128,26.21,38.672,127,26.25,334071180
24576,2048,280.19,128,26.35,39.923,127,26.39,362259852
26624,2048,271.55,128,26.00,39.014,127,26.03,390448524
28672,2048,268.85,128,26.05,40.201,127,26.10,418637196
30720,2048,264.79,128,25.72,39.453,127,25.75,446825868
32768,2048,261.99,128,25.50,39.153,127,25.53,475014540
34816,2048,254.75,128,24.99,41.883,127,25.02,503203212
36864,2048,252.52,128,25.08,41.987,127,25.12,531391884
38912,2048,249.52,128,24.80,43.320,127,24.84,559580556
40960,2048,246.31,128,25.09,41.837,127,25.13,587769228
43008,2048,240.39,128,24.77,41.643,127,24.81,615957900
45056,2048,237.90,128,24.86,42.901,127,24.90,644146572
47104,2048,235.19,128,24.56,43.031,127,24.60,672335244
49152,2048,232.39,128,24.70,41.606,127,24.73,700523916
51200,2048,227.68,128,24.35,43.406,127,24.39,728712588
53248,2048,226.04,128,24.49,44.422,127,24.54,756901260
55296,2048,223.07,128,24.13,43.341,127,24.17,785089932
57344,2048,220.65,128,24.34,43.952,127,24.39,813278604
59392,2048,215.61,128,24.03,43.155,127,24.06,841467276
61440,2048,214.52,128,24.16,41.825,127,24.19,869655948
63488,2048,212.09,128,23.81,43.409,127,23.85,897844620
65536,2048,209.29,128,23.48,43.806,127,23.51,0
