ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,401.45,128,32.17,52184460
4096,2048,381.38,128,25.80,80373132
6144,2048,376.98,128,25.29,108561804
8192,2048,373.25,128,25.38,136750476
10240,2048,366.26,128,25.03,164939148
12288,2048,363.12,128,25.22,193127820
14336,2048,359.36,128,24.90,221316492
16384,2048,355.48,128,24.94,249505164
18432,2048,350.15,128,24.58,277693836
20480,2048,346.82,128,24.75,305882508
22528,2048,342.78,128,24.49,334071180
24576,2048,339.98,128,24.61,362259852
26624,2048,334.38,128,24.31,390448524
28672,2048,331.37,128,24.40,418637196
30720,2048,327.71,128,24.09,446825868
32768,2048,325.09,128,24.03,475014540
34816,2048,319.52,128,23.58,503203212
36864,2048,317.46,128,23.80,531391884
38912,2048,314.37,128,23.51,559580556
40960,2048,311.05,128,23.86,587769228
43008,2048,307.26,128,23.57,615957900
45056,2048,304.03,128,23.65,644146572
47104,2048,301.09,128,23.38,672335244
49152,2048,298.60,128,23.52,700523916
51200,2048,295.22,128,23.16,728712588
53248,2048,292.70,128,23.37,756901260
55296,2048,289.84,128,23.02,785089932
57344,2048,287.28,128,23.22,813278604
59392,2048,283.67,128,22.86,841467276
61440,2048,281.84,128,22.98,869655948
63488,2048,279.39,128,22.70,897844620
65536,2048,276.97,128,22.65,926033292
