ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,318.52,128,28.22,37.413,127,28.27,52184460
4096,2048,329.95,128,27.94,35.889,127,27.98,80373132
6144,2048,325.16,128,27.45,37.171,127,27.49,108561804
8192,2048,321.22,128,27.46,36.900,127,27.49,136750476
10240,2048,310.82,128,27.12,37.367,127,27.16,164939148
12288,2048,306.84,128,27.21,37.460,127,27.25,193127820
14336,2048,302.09,128,26.87,37.858,127,26.90,221316492
16384,2048,298.92,128,26.82,37.445,127,26.85,249505164
18432,2048,289.96,128,26.42,38.778,127,26.46,277693836
20480,2048,286.69,128,26.54,38.406,127,26.58,305882508
22528,2048,282.46,128,26.19,38.512,127,26.22,334071180
24576,2048,279.03,128,26.36,38.645,127,26.39,362259852
26624,2048,271.59,128,26.00,39.193,127,26.03,390448524
28672,2048,268.27,128,26.05,40.181,127,26.09,418637196
30720,2048,264.20,128,25.70,40.825,127,25.75,446825868
32768,2048,261.08,128,25.48,41.135,127,25.52,475014540
34816,2048,253.92,128,24.96,40.992,127,24.99,503203212
36864,2048,252.13,128,25.13,41.033,127,25.16,531391884
38912,2048,249.05,128,24.80,42.683,127,24.84,559580556
40960,2048,246.10,128,25.07,42.797,127,25.12,587769228
43008,2048,240.13,128,24.78,40.495,127,24.81,615957900
45056,2048,237.58,128,24.87,42.300,127,24.91,644146572
47104,2048,234.87,128,24.55,43.701,127,24.59,672335244
49152,2048,232.12,128,24.69,41.466,127,24.73,700523916
51200,2048,227.56,128,24.34,43.575,127,24.38,728712588
53248,2048,225.45,128,24.49,43.905,127,24.53,756901260
55296,2048,222.78,128,24.17,43.398,127,24.20,785089932
57344,2048,220.39,128,24.34,43.638,127,24.38,813278604
59392,2048,215.42,128,24.02,41.950,127,24.05,841467276
61440,2048,214.26,128,24.13,45.091,127,24.17,869655948
63488,2048,211.73,128,23.78,45.099,127,23.82,897844620
65536,2048,209.10,128,23.47,43.830,127,23.50,0
