ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,399.04,64,13.62,52184460
8192,6144,396.36,64,13.49,136750476
14336,6144,381.41,64,13.33,221316492
16384,2048,372.68,64,13.34,249505164
