ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,388.07,64,11.92,52184460
8192,6144,398.33,64,11.83,136750476
14336,6144,384.30,64,11.67,221316492
16384,2048,374.92,64,11.68,249505164
